"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
488134,"June 16, 2013",Illinois,Chicago,"900block of East 79th Street",3,1,0,0,0,N/A
487891,"June 15, 2013",Texas,Houston,"9780 Bissonnet",3,1,0,0,0,N/A
487833,"June 15, 2013",Tennessee,Nashville,"135 Brinkhaven Ave",4,0,0,0,1,N/A
488992,"June 15, 2013","Rhode Island",Providence,"256 Hartford Ave",3,1,0,0,5,N/A
487715,"June 14, 2013","North Carolina","High Point","2201 Little Avenue",5,0,0,0,1,N/A
487670,"June 10, 2013",Illinois,Chicago,"5700 block of South Sangamon Street",4,1,0,0,0,N/A
487659,"June 10, 2013",Missouri,"Saint Louis","4700 block of Highland Ave",6,0,0,0,1,N/A
487645,"June 9, 2013",Pennsylvania,York,"600 block of West Princess Street",4,0,0,0,0,N/A
489581,"June 7, 2013",California,"Santa Monica","2036 Yorkshire Ave",1,5,0,1,0,N/A
487435,"June 2, 2013",Georgia,Lagrange,"Union Street",7,0,0,0,0,N/A
487271,"June 2, 2013",Virginia,"Virginia Beach","4000 block of Roebling Lane",4,0,3,0,0,N/A
487266,"June 2, 2013",Indiana,Indianapolis,"1913 East 46th Street",4,0,0,0,0,N/A
489314,"June 1, 2013",California,Vallejo,"1st block of Linfield Drive",2,2,0,0,0,N/A
487261,"June 1, 2013",Wisconsin,Milwaukee,"4126 N Teutonia Ave",4,0,0,0,0,N/A
487088,"May 31, 2013",Georgia,Atlanta,"1000 block of Fair Street",4,0,0,0,0,N/A
487082,"May 29, 2013",Illinois,Chicago,N/A,4,0,0,0,0,N/A
487052,"May 28, 2013",Tennessee,Memphis,"2850 Brewer Avenue",3,1,0,0,0,N/A
486977,"May 25, 2013",Michigan,Flint,"1100 block of Paterson",3,1,0,0,1,N/A
486998,"May 25, 2013",Virginia,Hampton,"1900 block of Coliseum Drive",4,1,0,0,2,N/A
486971,"May 24, 2013",California,Bakersfield,"3700 block of Columbus Street",2,2,0,0,1,N/A
486623,"May 23, 2013",Tennessee,"Bean Station","1034 Main Street",2,2,0,0,1,N/A
486617,"May 20, 2013",Illinois,Chicago,"5200 block of West Iowa Street",4,0,0,0,0,N/A
486586,"May 19, 2013",Tennessee,Memphis,"2281 Ketchum Rd",2,2,0,0,0,N/A
486605,"May 19, 2013",Michigan,Detroit,N/A,4,0,0,0,0,N/A
486611,"May 18, 2013",Virginia,Victoria,"2073 Pleasant Oak Rd",4,0,0,0,2,N/A
486334,"May 16, 2013",Pennsylvania,Philadelphia,"2600 block of Daggett Street",4,0,0,0,0,N/A
486327,"May 15, 2013",Michigan,Detroit,"9000 block of Carlin",4,1,0,0,0,N/A
486316,"May 13, 2013",Ohio,Cincinnati,"Kings Run Road",4,0,0,0,0,N/A
486209,"May 12, 2013",Louisiana,"New Orleans","1400 block of Frenchmen St",19,0,0,0,3,N/A
486153,"May 12, 2013",Arizona,"Apache Junction","3600 block of East Apache Trail",4,0,1,0,1,N/A
486142,"May 11, 2013",Indiana,Columbus,"E Main Cross St",0,4,0,1,1,N/A
486244,"May 11, 2013","New Jersey","Jersey City","Fremont Street",4,0,0,0,0,N/A
486121,"May 11, 2013",Pennsylvania,Philadelphia,"21st Street and Medary Avenue",4,0,0,0,0,N/A
486109,"May 10, 2013",California,"Los Angeles","1600 block of West 205th Street",1,3,0,0,0,N/A
486068,"May 6, 2013",Pennsylvania,Johnstown,"Horner and Messenger streets",4,0,0,0,0,N/A
486056,"May 5, 2013",California,"Palo Alto","Bay Road and University Avenue",5,0,0,0,0,N/A
486027,"May 4, 2013","North Carolina",Smithfield,"150 South Equity Drive",4,0,0,0,1,N/A
486005,"May 2, 2013","New Jersey",Newark,"804 S. 16th St",5,0,0,0,0,N/A
485979,"April 28, 2013",Tennessee,Jackson,"438 East Main Street",2,2,0,0,2,N/A
485885,"April 28, 2013",Pennsylvania,Chester,"Rose and Upland Street",3,1,0,0,0,N/A
485874,"April 28, 2013","North Carolina",Charlotte,"William Reynolds Drive",5,0,0,0,0,N/A
485821,"April 27, 2013",Florida,Williston,"County Road 318",3,1,0,0,1,N/A
